dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
469,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04726,irreversible,0.393790849673203,24,1,1,1,3
472,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04725,reversible,0.393790849673203,24,1,1,1,3
474,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04965,reversible,0.393790849673203,24,1,1,1,3
477,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04964,reversible,0.393790849673203,24,1,1,1,3
480,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04963,irreversible,0.393790849673203,24,1,1,1,3
483,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04962,reversible,0.393790849673203,24,1,1,1,3
485,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04535,reversible,0.393790849673203,24,1,1,1,3
488,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04534,reversible,0.393790849673203,24,1,1,1,3
491,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04960,irreversible,0.393790849673203,24,1,1,1,3
494,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04959,reversible,0.393790849673203,24,1,1,1,3
496,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04537,reversible,0.393790849673203,24,1,1,1,3
499,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04536,reversible,0.393790849673203,24,1,1,1,3
502,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04957,irreversible,0.393790849673203,24,1,1,1,3
505,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04956,reversible,0.393790849673203,24,1,1,1,3
507,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04954,reversible,0.393790849673203,24,1,1,1,3
510,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04953,reversible,0.393790849673203,24,1,1,1,3
512,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04952,irreversible,0.393790849673203,24,1,1,1,3
516,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04430,reversible,0.393790849673203,24,1,1,1,3
519,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04428,reversible,0.393790849673203,24,1,1,1,3
522,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04533,reversible,0.393790849673203,24,1,1,1,3
524,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R04355,irreversible,0.393790849673203,24,1,1,1,3
525,mmu,61,ec:2.3.1.39,mmu:223722,0,rn:R01626,irreversible,0.00925925925925926,7,3,2,1,3
527,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R01626,irreversible,0.393790849673203,24,1,1,1,3
529,mmu,61,ec:2.3.1.85,mmu:14104,1,rn:R01624,irreversible,0.393790849673203,24,1,1,1,3
530,mmu,61,ec:6.4.1.2,mmu:100705 / mmu:107476,0,rn:R00742,reversible,0.0547385620915033,6,4,2,1,3
