"","X","entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification","lethal_nonlethal","entrezgene_accession"
"70",70,157,"ec:1.1.1.363","gene","rn:R02736 rn:R10907",255,331,"rectangle",46,17,"#BFFFBF","sce:YNL241C",148,"irreversible","sce",30,0,1,0.0466359850975236,4,0,0,0.00175438596491228,2,0.756264036426338,3,3,4,9,0.0390611272534788,0.000752386069956737,"NHNB","nonlethal",""
"71",71,62,"ec:3.2.1.15","gene","rn:R01982",505,197,"rectangle",46,17,"#BFFFBF","sce:YJR153W",151,"irreversible","sce",40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB","nonlethal",""
"72",72,74,"ec:5.1.3.1","gene","rn:R01529",540,830,"rectangle",46,17,"#BFFFBF","sce:YJL121C",161,"reversible","sce",40,0,1,0,1,0,0,0.0476190476190476,1,0,4,2,2,1,0,0,"NHNB","nonlethal",""
"73",73,80,"ec:2.7.1.17","gene","rn:R01639",491,727,"rectangle",46,17,"#BFFFBF","sce:YGR194C",167,"reversible","sce",40,1,1,0.05,1,0,0,0.04,2,0,3,2,2,2,1.03281686239407e-16,0.414213562373095,"NHB","nonlethal",""
"74",74,86,"ec:1.1.1.9","gene","rn:R01896",412,695,"rectangle",46,17,"#BFFFBF","sce:YLR070C",172,"reversible","sce",40,1,1,0,0,0,0,0.0333333333333333,4,0,2,2,2,2,1,1.5273933756444e-17,"NHB","nonlethal",""
"75",75,96,"ec:2.7.7.9","gene","rn:R00289",297,510,"rectangle",46,17,"#BFFFBF","sce:YHL012W / sce:YKL035W",181,"irreversible","sce",40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB","nonlethal",""
"76",76,121,"ec:3.2.1.15","gene","rn:R02360",453,170,"rectangle",46,17,"#BFFFBF","sce:YJR153W",197,"irreversible","sce",40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB","nonlethal",""
"77",77,194,"ec:1.1.1.307","gene","rn:R01431 rn:R09477",388,610,"rectangle",46,17,"#BFFFBF","sce:YHR104W",214,"irreversible","sce",40,1,1,0,3,0,0,0.0666666666666667,3,0,3,2,2,3,4.1457831644551e-17,1,"HB","nonlethal",""
"78",78,195,"ec:1.1.1.14","gene","rn:R01896",462,695,"rectangle",46,17,"#BFFFBF","sce:YDL246C / sce:YJR159W",215,"reversible","sce",40,0,1,0,0,0,0,0.0333333333333333,3,0,4,2,2,1,0.707106781186547,7.60094032612658e-18,"NHNB","nonlethal",""
"79",79,196,"ec:1.1.1.2","gene","rn:R01481",607,375,"rectangle",46,17,"#BFFFBF","sce:YCR105W / sce:YMR318C",216,"reversible","sce",40,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB","nonlethal",""
"80",80,58,"ec:1.1.1.14","gene","rn:R00875",198,201,"rectangle",46,17,"#BFFFBF","sce:YDL246C / sce:YJR159W",227,"reversible","sce",51,0,1,0,7,10,0.476190476190476,0.0117647058823529,1,1.27303726690022e-16,4,3,4,7,0,3.73631525007488e-17,"NHNB","nonlethal",""
"81",81,63,"ec:1.1.1.67","gene","rn:R00868",409,191,"rectangle",46,17,"#BFFFBF","sce:YEL070W / sce:YNR073C",232,"reversible","sce",51,0,1,0,5,10,0.476190476190476,0.00775193798449612,2,9.54055112913494e-17,4,3,4,7,2.8929362628624e-17,0,"NHNB","nonlethal",""
