"","node1","node2","org","pathway","EC"
"328","hsa:50","hsa:3418","hsa","00020","2.3.3.1"
"329","hsa:50","hsa:3419","hsa","00020","2.3.3.1"
"330","hsa:50","hsa:3420","hsa","00020","2.3.3.1"
"331","hsa:50","hsa:3421","hsa","00020","2.3.3.1"
"332","hsa:1431","hsa:5091","hsa","00020","2.3.3.1"
"333","hsa:1431","hsa:5105","hsa","00020","1.1.1.37"
"334","hsa:1431","hsa:5106","hsa","00020","1.1.1.37"
"335","hsa:1431","hsa:48","hsa","00020","1.1.1.37"
"336","hsa:1431","hsa:50","hsa","00020","1.1.1.37"
"337","hsa:4190","hsa:47","hsa","00020","1.1.1.37"
"338","hsa:4190","hsa:1431","hsa","00020","1.1.1.37"
"339","hsa:4190","hsa:5091","hsa","00020","1.1.1.37"
"340","hsa:4190","hsa:5105","hsa","00020","1.1.1.37"
"341","hsa:4190","hsa:5106","hsa","00020","1.1.1.37"
"342","hsa:4190","hsa:2271","hsa","00020","1.1.1.37"
"343","hsa:4191","hsa:47","hsa","00020","1.1.1.37"
"344","hsa:4191","hsa:1431","hsa","00020","1.1.1.37"
"345","hsa:4191","hsa:5091","hsa","00020","6.4.1.1"
"346","hsa:4191","hsa:5105","hsa","00020","6.4.1.1"
"347","hsa:4191","hsa:5106","hsa","00020","1.2.4.1"
"348","hsa:4191","hsa:2271","hsa","00020","1.2.4.1"
"349","hsa:5091","hsa:5105","hsa","00020","1.2.4.1"
"350","hsa:5091","hsa:5106","hsa","00020","1.2.4.1"
"351","hsa:5160","hsa:5091","hsa","00020","1.2.4.1"
"352","hsa:5160","hsa:5160","hsa","00020","1.2.4.1"
"353","hsa:5160","hsa:5161","hsa","00020","1.2.4.1"
"354","hsa:5160","hsa:5162","hsa","00020","1.2.4.1"
"355","hsa:5161","hsa:5091","hsa","00020","1.2.4.1"
"356","hsa:5161","hsa:5160","hsa","00020","1.2.4.1"
"357","hsa:5161","hsa:5161","hsa","00020","1.2.4.1"
"358","hsa:5161","hsa:5162","hsa","00020","1.2.4.1"
"359","hsa:5162","hsa:5091","hsa","00020","2.3.1.12"
"360","hsa:5162","hsa:5160","hsa","00020","2.3.1.12"
"361","hsa:5162","hsa:5161","hsa","00020","2.3.1.12"
"362","hsa:5162","hsa:5162","hsa","00020","2.3.1.12"
"363","hsa:1737","hsa:1431","hsa","00020","2.3.1.12"
"364","hsa:1737","hsa:47","hsa","00020","1.3.5.1"
"365","hsa:1737","hsa:5160","hsa","00020","1.3.5.1"
"366","hsa:1737","hsa:5161","hsa","00020","1.3.5.1"
"367","hsa:1737","hsa:5162","hsa","00020","1.3.5.1"
"368","hsa:6389","hsa:8801","hsa","00020","1.3.5.1"
"369","hsa:6389","hsa:8802","hsa","00020","1.3.5.1"
"370","hsa:6389","hsa:8803","hsa","00020","5.3.1.9"
"371","hsa:6390","hsa:8801","hsa","00020","5.3.1.9"
"372","hsa:6390","hsa:8802","hsa","00020","5.3.1.9"
"373","hsa:6390","hsa:8803","hsa","00020","2.7.1.15"
"374","hsa:6391","hsa:8801","hsa","00020","2.7.1.15"
"375","hsa:6391","hsa:8802","hsa","00020","2.7.1.15"
"376","hsa:6391","hsa:8803","hsa","00020","2.7.1.15"
"377","hsa:6392","hsa:8801","hsa","00020","2.7.1.15"
"378","hsa:6392","hsa:8802","hsa","00020","2.7.1.15"
"379","hsa:6392","hsa:8803","hsa","00020","2.7.1.15"
"380","hsa:2821","hsa:2539","hsa","00030","5.4.2.2 / 5.4.2.7"
"381","hsa:2821","hsa:6888","hsa","00030","5.4.2.2 / 5.4.2.7"
"382","hsa:2821","hsa:9563","hsa","00030","5.4.2.2 / 5.4.2.7"
"383","hsa:64080","hsa:22934","hsa","00030","5.4.2.2 / 5.4.2.7"
"384","hsa:64080","hsa:7086","hsa","00030","5.4.2.2 / 5.4.2.7"
"385","hsa:64080","hsa:8277","hsa","00030","5.4.2.2 / 5.4.2.7"
"386","hsa:64080","hsa:84076","hsa","00030","4.1.2.4"
"387","hsa:64080","hsa:5236","hsa","00030","4.1.2.4"
"388","hsa:64080","hsa:55276","hsa","00030","4.1.2.4"
"389","hsa:64080","hsa:51071","hsa","00030","4.1.2.4"
"390","hsa:55276","hsa:22934","hsa","00030","4.1.2.4"
"391","hsa:55276","hsa:7086","hsa","00030","4.1.2.4"
"392","hsa:55276","hsa:8277","hsa","00030","2.7.6.1"
"393","hsa:55276","hsa:84076","hsa","00030","2.7.6.1"
"394","hsa:55276","hsa:64080","hsa","00030","2.7.6.1"
"395","hsa:55276","hsa:51071","hsa","00030","2.7.6.1"
"396","hsa:51071","hsa:226","hsa","00030","2.7.6.1"
"397","hsa:51071","hsa:229","hsa","00030","2.7.6.1"
"398","hsa:51071","hsa:230","hsa","00030","2.7.6.1"
"399","hsa:51071","hsa:7086","hsa","00030","2.7.6.1"
"400","hsa:51071","hsa:8277","hsa","00030","2.7.6.1"
"401","hsa:51071","hsa:84076","hsa","00030","2.7.6.1"
"402","hsa:51071","hsa:6888","hsa","00030","2.7.6.1"
"403","hsa:221823","hsa:22934","hsa","00030","2.7.6.1"
"404","hsa:221823","hsa:7086","hsa","00030","2.7.6.1"
"405","hsa:221823","hsa:8277","hsa","00030","2.7.6.1"
"406","hsa:221823","hsa:84076","hsa","00030","2.7.6.1"
"407","hsa:221823","hsa:64080","hsa","00030","2.7.6.1"
"408","hsa:221823","hsa:55276","hsa","00030","2.7.6.1"
"409","hsa:221823","hsa:5236","hsa","00030","2.7.6.1"
"410","hsa:5631","hsa:22934","hsa","00030","2.7.6.1"
"411","hsa:5631","hsa:7086","hsa","00030","2.7.6.1"
